name,email,ssn,phone,address,transaction_amount,product,date,product_category,payment_method,store_location,customer_feedback,delivery_time_days,product_rating,quantity,brand
David Williams,jamie13@example.org,007-06-8006,290-768-1468x579,"966 Tyler Brook Suite 171, Mauriceville, MT 36702",9580.84,yes,1999-09-19,Grocery,UPI,"Port Sherri, Pennsylvania",Fast shipping,4,4.6,1,Sony
Sean Dennis,llopez@example.net,303-84-3692,666.893.6329,"636 Shaun Forge, North Matthew, IA 50438",2159.93,manage,2001-07-04,Toys,Cash,"Patrickberg, Indiana",Great service!,6,2.3,3,Adidas
Patricia Davis,smithsteven@example.org,661-15-7281,(317)755-1893,"0240 Moore Coves, Lake Christopher, IN 91880",5454.77,apply,1975-10-09,Clothing,Net Banking,"Lake Jamesfort, Wyoming",Not satisfied,6,1.9,3,Samsung
Elizabeth Roberts,tdaniels@example.org,711-15-1119,357.538.1977x85907,"USNV Bryant, FPO AE 76463",6727.86,green,1973-12-26,Grocery,Net Banking,"New Andrea, North Carolina",Not satisfied,2,2.8,3,Adidas
Joseph Miller,theresatodd@example.net,010-99-0964,001-801-800-1506x0757,"18706 Jonathan Knoll, Hessport, WA 24971",4465.47,investment,2023-07-29,Toys,Net Banking,"East Danielmouth, Maryland",Fast shipping,3,1.5,4,LG
Steven Valentine,ghoffman@example.com,778-30-1108,989-462-6485x7123,"6963 Karen Square Apt. 852, South Josephstad, AK 63926",4871.24,goal,2020-07-14,Books,Debit Card,"East Barbaramouth, Nevada",Will buy again,2,3.8,5,Sony
Timothy Richards,gregoryhorton@example.net,197-11-6978,001-522-268-4898x8650,"986 Hernandez Courts Suite 400, Millerville, ND 50914",2508.55,ahead,2024-12-18,Home,Credit Card,"South Jeffreyborough, New Jersey",Fast shipping,6,3.3,2,Ikea
Raven Miller,jasonharris@example.net,614-22-7775,714.803.3369,"588 Melissa Harbors, New Heather, NM 76943",2435.84,down,2004-05-29,Electronics,Debit Card,"Hutchinsonbury, Louisiana",Not satisfied,4,1.2,1,Samsung
Jason Davis,emoon@example.net,291-56-8463,+1-950-950-2238x88896,"5427 Judy Skyway Suite 341, New Ericville, NJ 87513",4023.36,court,1976-11-21,Books,UPI,"Amandafort, Vermont",Poor quality,1,4.2,2,Adidas
Courtney Pierce,samantha19@example.net,084-47-5933,(830)225-1744,"04446 Archer Junctions Apt. 034, West Amber, MI 15766",6689.9,stage,1975-06-22,Grocery,Credit Card,"Bethanyshire, New Mexico",Will buy again,7,2.5,3,Nike
Robert French,robertpope@example.org,096-02-3859,750.614.0441,"72053 Robert Falls Apt. 936, New Laura, OK 71645",8586.43,reveal,2011-08-07,Furniture,Debit Card,"New Kimberlystad, Oklahoma",Not satisfied,10,2.9,1,Nike
Reginald Ingram,ashley38@example.org,874-11-6079,001-222-506-3159,"25579 Lucero Stravenue Apt. 153, New Markberg, WY 94207",4700.6,including,2003-09-09,Home,Credit Card,"Velasquezfurt, Idaho",Will buy again,8,3.0,2,Apple
Jessica Parsons,leeelaine@example.com,083-88-4691,799-496-6929,"480 Tyler Gardens Suite 421, Stephaniestad, TN 78482",1640.41,every,2018-06-13,Toys,PayPal,"Stevenfurt, Wyoming",Fast shipping,5,1.1,4,Nike
Michelle Donovan,markharrison@example.net,302-77-1427,(487)670-5356,"632 David Trafficway Apt. 721, Martinezfurt, WA 38754",9784.71,analysis,1975-11-20,Toys,UPI,"Michaelburgh, New Hampshire",Fast shipping,6,5.0,3,Sony
Diana Reilly,michaeljohnson@example.net,427-11-2684,(912)712-4010,"USS Coleman, FPO AP 19024",3448.41,movie,2024-02-23,Home,Net Banking,"Lake Kimberlyland, Kentucky",Fast shipping,5,1.6,2,Sony
